Date,Content,positive_score,negative_score,neutral_score,prediction
2017/4/1,why does not apple disengage text function in iphones in moving automobiles spend money on that instead of politically correct emojis ,0.029679237,0.114566118,0.855754674,neutral
2017/5/10,hey apple volunteer to stress test the new mac pros you are working on by editing videos on other news new video tonight ,0.078922972,0.01395803,0.907118976,neutral
2017/6/9,hey apple how about acknowledging our armed forces in your next emoji update ,0.086709529,0.012451054,0.900839448,neutral
2017/6/29,here the moment steve jobs unveiled the iphone decade via valaafshar aapl ,0.079234399,0.015119026,0.905646503,neutral
2017/7/17,hey apple where is our emoji nationalemojiday ,0.036002092,0.052349601,0.911648333,neutral
2017/7/17,hey apple nfor new emojis suggest something like this zombies amp dinosaurs are cool but skaters are more in your demographic nthanks ntony ,0.063138887,0.019933384,0.916927755,neutral
2017/7/23,teamed apple to make the biggest coolest sexiest funnest is that word movie ever drops tomorrow rockxsiri dominateyourday ,0.082405344,0.031084426,0.886510193,neutral
2017/7/24,world premiere hardest working man in show business teams with apple amp the greatest assistant on the planet dominatetheday rockxsiri ,0.148666963,0.039422855,0.811910152,neutral
2017/8/1,apple has billion in cash it could buy nuber ntesla nnetflix nairbnb ntwitter still have billion left aapl,0.03663354,0.030193832,0.933172643,neutral
2017/9/4,yo the apple twitter account is nuts it is tweeted tens of thousands of times and still shows tweets hax ,0.019019814,0.160907105,0.820073068,neutral
2017/9/12,the iphone apple ll see you in court sweetie ,0.037234675,0.026015431,0.936749876,neutral
2017/9/13,so apple if you hold your iphonex up to your birds face when she is asleep will it unlock asking for mate,0.028865865,0.040351097,0.930783093,neutral
2017/10/11,we all saw eminem take down realdonaldtrump did you know he also bodied apple today ,0.038492464,0.026300106,0.935207486,neutral
2017/10/21, am assuming someone has told apple that the latest ios update is terrible,0.032538716,0.038358089,0.929103196,neutral
2017/10/30,yo apple where is my experience bro ,0.049225587,0.037269026,0.913505435,neutral
2017/11/4,this video explains my last tweet just hacked the iphone apple,0.026618825,0.06146941,0.911911786,neutral
2017/11/6,wassup dis question mark in box for the apple,0.045187101,0.044838361,0.909974575,neutral
2017/11/6,dear apple am sorry did this your iphone animoji am stuck at lax on loooong flight delay so what choice did have really ,0.022235438,0.704194129,0.273570448,negative
2017/11/6,hey apple when is this shit gonna end ,0.038654961,0.246077403,0.715267658,neutral
2017/11/9,hey apple you win bought the new iphone can you unfuck my current one until it arrives sincerely everyone on the planet who installed your bullshit update xoxo,0.074912615,0.019173568,0.90591383,neutral
2017/11/11,hey apple fix these phones ,0.056917347,0.029499501,0.9135831,neutral
2017/11/21,dear tim_cook pschiller and icloud team sent out an incorrect email fixed it for you below thanks ,0.020980818,0.501200438,0.477818728,negative
2017/11/22,real love is never waste of time nsuch an honour for apple to choose palace to soundtrack their holiday advert hope you enjoy watching ,0.066315912,0.014902659,0.918781459,neutral
2017/11/28,dear applesupport we noticed huge security issue at macos high sierra anyone can login as root with empty password after clicking on login button several times are you aware of it apple ,0.030799225,0.294892669,0.674308121,neutral
2017/11/28, applesupport apple you can access it via system preferences gt users amp groups gt click the lock to make changes then use root with no password and try it for several times result is unbelievable ,0.034237437,0.021256777,0.944505751,neutral
2017/12/12, have used only apple since every time go to the apple store am reminded why this is the best company on earth nichole and fadi were so helpful and pleasant at the apple store in caesar palace today great people and great products make apple the best there is ,0.122741349,0.017914288,0.859344363,neutral
2017/12/23,dear apple ntrust me when say this know that dont have the iphone do not have to kill my battery life and slow down my phone drastically for me to know still an iphone so would appreciate it if you all stopped getalife,0.055009931,0.024919992,0.920070052,neutral
